sim_s,stage,x,y,z,yaw,odom_x,odom_y,odom_v,odom_w,margin_m,nearest_model,front_strip_range_m
7.399,initializing,-6.190656161553293,4.746897699673493e-09,0.006132350062906206,-1.5007245608144042e-08,1.747108132893057e-05,-1.3714662561950306e-14,-3.5575383784680614e-18,5.464728691963229e-19,1.3056734449239271,entrance_curb_-4.83_1,inf
7.601,initial_stop,-6.190656161553293,4.746897699673493e-09,0.006132350062906206,-1.5007245608144042e-08,1.7471081328929894e-05,-1.3714662561949402e-14,-3.3881317890172014e-18,1.0929457383926457e-18,1.3056734449239271,entrance_curb_-4.83_1,inf
7.832,initial_stop,-6.190656161553293,4.746897699673493e-09,0.006132350062906206,-1.5007245608144042e-08,1.7471081328929037e-05,-1.3714662561948291e-14,-3.7269449679189215e-18,1.0929457383926457e-18,1.3056734449239271,entrance_curb_-4.83_1,inf
8.051,initial_stop,-6.190656161553293,4.746897699673493e-09,0.006132350062906206,-1.5007245608144042e-08,1.7471081328928258e-05,-1.3714662561947296e-14,-3.7269449679189215e-18,0.0,1.3056734449239271,entrance_curb_-4.83_1,inf
8.282,initial_stop,-6.190656161553293,4.746897699673493e-09,0.006132350062906206,-1.5007245608144042e-08,1.747108132892744e-05,-1.3714662561946188e-14,-3.2187251995663413e-18,5.464728691963229e-19,1.3056734449239271,entrance_curb_-4.83_1,inf
8.485,initial_stop,-6.190656161553293,4.746897699673493e-09,0.006132350062906206,-1.5007245608144042e-08,1.747108132892667e-05,-1.3714662561945197e-14,-3.5575383784680614e-18,2.732364345981614e-18,1.3056734449239271,entrance_curb_-4.83_1,inf
8.685,initial_stop,-6.190656161553293,4.746897699673493e-09,0.006132350062906206,-1.5007245608144042e-08,1.7471081328925934e-05,-1.371466256194424e-14,-2.879912020664621e-18,1.6394186075889684e-18,1.3056734449239271,entrance_curb_-4.83_1,inf
8.905,initial_stop,-6.190656161553293,4.746897699673493e-09,0.006132350062906206,-1.5007245608144042e-08,1.7471081328925083e-05,-1.3714662561943109e-14,-4.573977915173222e-18,1.6394186075889684e-18,1.3056734449239271,entrance_curb_-4.83_1,inf
9.14,route_1_to_-5.6,-6.173636189100641,4.5498755695818295e-09,0.006132884195914124,-1.3664821540557591e-08,0.01816247107663798,3.2236246065377195e-12,0.18549999997523237,1.0973000621938129e-08,1.2950303488279094,entrance_curb_-4.83_1,inf
9.374,route_1_to_-5.6,-6.1126761954935525,4.01512392571115e-09,0.006132882206853515,-1.1472445273213087e-08,0.07127747107380716,1.0457315120822345e-10,0.27999999999475456,7.2710318948528004e-09,1.2576313262818744,entrance_curb_-4.83_1,inf
9.581,route_1_to_-5.6,-6.054716180892749,3.594006647279721e-09,0.0061328772324092,-9.995579286656538e-09,0.12839747107273736,2.9550385976139473e-10,0.2799999999947539,4.778435711632628e-09,1.22316229614158,entrance_curb_-4.83_1,inf
9.794,route_1_to_-5.6,-5.995076167508369,3.2166698972119693e-09,0.006132869117056631,-8.687250501614121e-09,0.1950374710714876,5.820824491635934e-10,0.27999999999476355,1.295043821285034e-09,1.188863533710269,entrance_curb_-4.83_1,inf
10.001,route_1_to_-5.6,-5.940915221440807,2.9134038635243988e-09,0.00613285944417816,-7.718996284713343e-09,0.24854178366294954,8.299784548387992e-10,0.24481675106245854,-1.0872709542733292e-09,1.158796607526394,entrance_curb_-4.83_1,inf
10.239,route_1_to_-5.6,-5.887931507075535,2.6478157229497393e-09,0.006132848146337784,-6.9115471611447505e-09,0.3017014681702239,1.0616398862332527e-09,0.20797050835140443,-3.626856879340186e-09,1.1304277848935136,entrance_curb_-4.83_1,inf
10.495,route_1_to_-5.6,-5.839800291993858,2.4104288522170843e-09,0.006132836705221836,-6.390455513475876e-09,0.3468416193449141,1.2186645470410484e-09,0.17525698812028978,-5.920935784675316e-09,1.105592784292493,entrance_curb_-4.83_1,inf
10.7,route_1_to_-5.6,-5.807211654832607,2.2698030440177987e-09,0.006132828540267904,-6.0320315458007796e-09,0.37986307593700885,1.290274957958661e-09,0.15076184441060458,-8.255305041710552e-09,1.0893023077788888,entrance_curb_-4.83_1,inf
10.901,route_1_to_-5.6,-5.779540189735458,2.1545039635022403e-09,0.00613282153367335,-5.792799894335149e-09,0.40840902213306257,1.303786268800272e-09,0.13112120982522457,-1.047645841046849e-08,1.0758124050584912,entrance_curb_-4.83_1,inf
11.101,route_1_to_-5.6,-5.755708522637195,2.0561813927844157e-09,0.006132815780695488,-5.662178992514149e-09,0.4330750272180002,1.2621426338410046e-09,0.11446285757620855,-1.2738484102673314e-08,1.064452277998556,entrance_curb_-4.83_1,inf
11.315,route_1_to_-5.6,-5.7336934333280265,1.965731443651163e-09,0.006132812933775535,-5.655012566227378e-09,0.45438899732760984,1.1694184827365431e-09,0.09887192516430665,-1.526579937729461e-08,1.0541742528048477,entrance_curb_-4.83_1,inf
11.549,route_1_to_-5.6,-5.713127305970824,1.8996845848268155e-09,0.006132816261023803,-5.786612031702853e-09,0.4756604985580365,1.0033144782191693e-09,0.08194741913451487,-1.9052823834759958e-08,1.0447634968531028,entrance_curb_-4.83_1,inf
