sim_s,stage,x,y,z,yaw,odom_x,odom_y,odom_v,odom_w,margin_m,nearest_model,front_strip_range_m
64.0,initializing,-0.9906081674369733,8.497525938872686e-10,0.006132812320314742,-5.903164237854384e-09,0.00010990603308083313,-3.6625631866591827e-13,0.0,0.0,inf,,inf
64.201,initial_stop,-0.9906081674369733,8.497525938872686e-10,0.006132812320314742,-5.903164237854384e-09,0.00010990603308083313,-3.6625631866591827e-13,0.0,0.0,inf,,inf
64.415,initial_stop,-0.9906081674369733,8.497525938872686e-10,0.006132812320314742,-5.903164237854384e-09,0.00010990603308083313,-3.6625631866591827e-13,0.0,0.0,inf,,inf
64.624,initial_stop,-0.9906081674369733,8.497525938872686e-10,0.006132812320314742,-5.903164237854384e-09,0.00010990603308083313,-3.6625631866591827e-13,0.0,0.0,inf,,inf
64.83,initial_stop,-0.9906081674369733,8.497525938872686e-10,0.006132812320314742,-5.903164237854384e-09,0.00010990603308083313,-3.6625631866591827e-13,0.0,0.0,inf,,inf
65.053,initial_stop,-0.9906081674369733,8.497525938872686e-10,0.006132812320314742,-5.903164237854384e-09,0.00010990603308083313,-3.6625631866591827e-13,0.0,0.0,inf,,inf
65.278,initial_stop,-0.9906081674369733,8.497525938872686e-10,0.006132812320314742,-5.903164237854384e-09,0.00010990603308083313,-3.6625631866591827e-13,0.0,0.0,inf,,inf
65.488,initial_stop,-0.9906081674369733,8.497525938872686e-10,0.006132812320314742,-5.903164237854384e-09,0.00010990603308083313,-3.6625631866591827e-13,0.0,0.0,inf,,inf
65.696,route_1_to_8,-0.982733193137923,7.999939920091388e-10,0.00613288422367149,-5.249149005465344e-09,0.007012906030195913,-4.088508641858927e-11,0.11249999997529599,9.68422195034246e-09,inf,,inf
65.897,route_1_to_8,-0.9383882155142202,6.352500525780524e-10,0.006132883451347463,-4.07952375195038e-09,0.05092990602594189,-2.3648491497179916e-10,0.27999999999475456,7.505823919385171e-09,inf,,inf
66.115,route_1_to_8,-0.8773482012391317,4.816318746823523e-10,0.006132879524679912,-3.3894414798148143e-09,0.10804990602487208,-4.099668638939871e-10,0.2799999999947518,6.209461708258394e-09,inf,,inf
66.316,route_1_to_8,-0.8210681876525263,3.681001496875607e-10,0.006132873001938975,-2.8184182429158595e-09,0.16516990602380188,-5.109420492472039e-10,0.2799999999947622,5.191053680099163e-09,inf,,inf
66.529,route_1_to_8,-0.7614281758681049,2.6966796866183075e-10,0.006132863322350657,-2.297585744043018e-09,0.2318099060225523,-5.527966462102646e-10,0.2799999999947622,4.233495274771456e-09,inf,,inf
66.751,route_1_to_8,-0.6992681673102212,1.8767924141705396e-10,0.006132850707498101,-1.8342611374459462e-09,0.2889299060214804,-5.355319834475119e-10,0.2799999999947455,3.3898153101712253e-09,inf,,inf
66.97,route_1_to_8,-0.6379481632951693,1.243689230933552e-10,0.006132836422247731,-1.4461060624410029e-09,0.3460499060204069,-4.789653560950031e-10,0.27999999999474834,2.705908973590641e-09,inf,,inf
67.173,route_1_to_8,-0.5811081639051281,7.885593451152987e-11,0.00613282244299397,-1.1419788105187596e-09,0.40316990601933467,-3.9069528853845645e-10,0.2799999999947761,2.1274111504690227e-09,inf,,inf
67.388,route_1_to_8,-0.5209081708995413,4.1540254096710394e-11,0.006132816900185642,-9.948010000580489e-10,0.4698099060180859,-2.562487351953494e-10,0.27999999999474556,1.7759270756487826e-09,inf,,inf
67.597,route_1_to_8,-0.4623881775501914,6.869786353561381e-12,0.006132829776706353,-1.0191717537448123e-09,0.5269299060170112,-1.1805897420346468e-10,0.2799999999947511,1.8250275842539792e-09,inf,,inf
67.797,route_1_to_8,-0.4063881795543464,-2.7511443345176356e-11,0.00613284343617233,-1.0403487420975826e-09,0.5840499060159372,4.141016585866737e-11,0.27999999999474556,1.8703855668568097e-09,inf,,inf
68.016,route_1_to_8,-0.3450681772966603,-6.610150701300671e-11,0.006132857098081325,-1.0599510330703748e-09,0.6411699060148666,2.226996561066143e-10,0.2799999999947844,1.913523103410391e-09,inf,,inf
68.229,route_1_to_8,-0.28542817123809394,-1.0434474082243113e-10,0.006132868225353789,-1.075576823481328e-09,0.6982899060137917,4.262946877895349e-10,0.27999999999474556,1.9489965197294623e-09,inf,,inf
68.444,route_1_to_8,-0.22522816204692428,-1.4345953331286005e-10,0.006132876752800236,-1.0883018513712018e-09,0.7649299060125421,6.925738788362612e-10,0.2799999999948066,1.984111799588977e-09,inf,,inf
68.672,route_1_to_8,-0.16138814996030423,-1.8532372095867148e-10,0.006132882396847958,-1.09901942669207e-09,0.8315699060112889,9.903497786754552e-10,0.27999999999474556,2.015180137455504e-09,inf,,inf
68.875,route_1_to_8,-0.10454813815009799,-2.228215386392436e-10,0.006132884248070742,-1.106685314310146e-09,0.8886899060102136,1.2710275188741425e-09,0.2799999999947511,2.0360415862246705e-09,inf,,inf
69.081,route_1_to_8,-0.046868124549368124,-2.682507028424917e-10,0.006132883032720389,-1.0683754747012257e-09,0.9458099060091398,1.5753977753868288e-09,0.27999999999474556,1.998741673961861e-09,inf,,inf
